endereco;valor;detalhes;pagina;extra
Rua Coelho Neto, 4 - Laranjeiras, Rio de Janeiro - RJ;1100000.0;"


                110
              

                m²
              



                2
              

                Quartos
              



                4
              

                Banheiros
              



                  2
                

                  Vagas
                

";1;"
Playground
Elevador
Portaria 24h
Ar-condicionado
"
Rua da Assembléia, 85 - Centro, Rio de Janeiro - RJ;0.0;"


                21-408
              

                m²
              



                --
              

                Quarto
              



                --
              

                Banheiro
              



                  --
                

                  Vaga
                

";1;0
Rua José Américo de Almeida, 688 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1600000.0;"


                173
              

                m²
              



                3
              

                Quartos
              



                5
              

                Banheiros
              



                  6
                

                  Vagas
                

";1;"
Mobiliado
Elevador
Condomínio fechado
Aceita animais
Ar-condicionado
...
"
Rua General Barbosa Lima, 34 - Copacabana, Rio de Janeiro - RJ;1980000.0;"


                112
              

                m²
              



                3
              

                Quartos
              



                2
              

                Banheiros
              



                  --
                

                  Vaga
                

";1;"
Aceita animais
Ar-condicionado
Mobiliado
Elevador
Portão eletrônico
"
Rua Constante Ramos, 104 - Copacabana, Rio de Janeiro - RJ;2300000.0;"


                298
              

                m²
              



                4
              

                Quartos
              



                4
              

                Banheiros
              



                  4
                

                  Vagas
                

";1;0
Avenida Afonso Arinos de Melo Franco, 191 - Barra da Tijuca, Rio de Janeiro - RJ;680000.0;"


                65
              

                m²
              



                2
              

                Quartos
              



                3
              

                Banheiros
              



                  1
                

                  Vaga
                

";1;"
Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...
"
Rua do Russel, 404 - Glória, Rio de Janeiro - RJ;1100000.0;"


                110
              

                m²
              



                3
              

                Quartos
              



                2
              

                Banheiros
              



                  --
                

                  Vaga
                

";1;"
Aceita animais
Elevador
Acesso para deficientes
Portaria 24h
Portão eletrônico
"
Rua Francisco de Paula, 630 - Jacarepaguá, Rio de Janeiro - RJ;490000.0;"


                82
              

                m²
              



                3
              

                Quartos
              



                3
              

                Banheiros
              



                  1
                

                  Vaga
                

";1;"
Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...
"
Rua das Marrecas, 11 - Centro, Rio de Janeiro - RJ;415000.0;"


                33-79
              

                m²
              



                1
              

                Quarto
              



                1
              

                Banheiro
              



                  --
                

                  Vaga
                

";1;0
Rua Doutor Satamini, 75 - Tijuca, Rio de Janeiro - RJ;900000.0;"


                144
              

                m²
              



                3
              

                Quartos
              



                2
              

                Banheiros
              



                  1
                

                  Vaga
                

";1;"
Ar-condicionado
Acesso para deficientes
Elevador
Bicicletário
Portaria 24h
"
Rua Macedo Sobrinho, 75 - Humaitá, Rio de Janeiro - RJ;1590000.0;"


                110
              

                m²
              



                3
              

                Quartos
              



                3
              

                Banheiros
              



                  2
                

                  Vagas
                

";1;"
Piscina
Elevador
Aceita animais
Ar-condicionado
Playground
...
"
